time,text
2852,kurz machen kurzen auf unser freund
2900,ein paar technische probleme unser
2903,freund bisschen jungs
2948,macht bereit bin
2952,nano
2971,das holz haben kommen dann kommt
3003,vielleicht ein schock video mal gucken
3023,welche futter wie das bild ist
3069,der kopf ja das wird so lange hier ja
3075,dass ein bild definitiv letzter platz
3082,und das ist kein zufall dass mainz diese
3104,kennst du die sich schlanke diese
3106,brettspiel die sich lange weil staat
3118,jetzt kommt ihm kommt und dann müsste
3123,ich auch dem bohrloch
3127,man warte dann guckt so folgt das kommt
3132,da zwar fällt zwar
3156,hanno macht muss man sein handy
3194,ich bin ich schon jetzt es geht einfach
3199,um so zeit vertreiben mit sockel oder
3208,weg
3211,er rollt nicht oder den eben nur was das
3240,wird dieses mal andere spielen was das
3259,angeht so muss sowieso moment com wird
3278,nicht bereit
3279,doch was tut eigentlich die sowas
3286,boxengasse
3287,hier werde ich komme nach macht
3309,gar kein projekt
3364,aber das macht ja sowieso keine lust
3371,gehabt hätte einfach wie ein blinder da
3376,drauf habt ihr mit roter schießen
3387,der ball lag bei mir 600
3394,darunter geschlossen
3397,da schießt grund gehen wir doch und kann
3407,nichts machen stellt das internet
3434,ja es ist doch ich habe mich wohler der
3447,sing tao show
3482,[Musik]
3484,mein hunger der wahl ist lektor bei
3486,pinkey ja wenn du mal bringen wolle
3493,meinte sind so kliniken wollen wir gar
3496,nicht krank macht bereit ist denn so
3523,spielt ja nein nein
3567,warum jetzt diese könnten jeweils mit
3578,das passt
3590,schnarchen
3613,und muss ich wollte mit dem team eine
3661,wenn du hast bist du wer du bist
3679,ja wenn da entweder reform ist ein
3708,international
3711,wer will das nicht
3734,war das sieht geil aus
3737,vielleicht habe das frisst auch viel
3740,öfter man auch sagen dass man hat
3768,damen machen
3776,ja was ist für ihn machen
3792,aber dann haben wir uns ja zu schaffen
3807,ich bin auf mein kopf voller bilder nach
3811,meinem kopf weil das oder und so weiter
3813,gibst du gar nicht so leben wir hier
3823,siehst du kein 200 100 liter
3838,ja okay wir wissen dass sowas hoffe mein
3870,gott oh mein gott
3889,ja und ich habe 300 passt auch in
3949,brandenburg oder von welchen
3966,ich glaube ich
3970,aber weißt du auch
3980,jan ahnung würd mir leid tut mir leid
3994,fragen was eigentlich los super simpel
4006,an der backe link
4067,wir lassen
4074,mit seinem müssen
4099,und seine zeit
4102,dafür hat er ja wenn es bessere pink
4114,lady gaga hätte ich ja hat man momentan
4120,immer um mal so ich habe über 1000
4139,münchen
4167,maccarone
4183,dabei hat der letzte pass hat
4207,die anderen stürzen
4215,[Musik]
4258,[Musik]
4265,was soll das heißen
4277,ich mache ich mache auch wie das blatt
4279,weiter
4292,ok haben wir dann abonnieren
4311,singer ich habe es geschafft
4327,anna ist noch am leben ein blog richtig
4333,bitte wir können doch über alles reden
4335,bitte ja so wenn man aus orsingen
4347,aber so ganz
4357,[Musik]
4378,b
4412,ich bin eine kontrolle haben
4444,[Musik]
4465,lasst mich gewinnen möchten sich auch
4488,wohl eben nach hause
4491,ich konnte so belegt
4506,nein einfach hier
4571,[Musik]
4578,ich habe
4587,gleich verlasse ich mache das weil es
4592,dort nicht weil das ich habe hundert
4594,weniger kann man auch nicht gut
4598,hallo man kann eigentlich du bist auf
4621,einmal
4633,die meinung sagen wir's nicht nur lande
4644,ich mach beenden wolle ich kann nicht so
4647,spielt er mit nicht risiko dass
4669,gerechnet
4691,[Musik]
4711,der arme und schultern
4751,alle die hier heute damit hat vielleicht
4755,kam noch ein video gucken
